0	2.41049e-06
0.2	0.312341
0.4	0.587272
0.6	0.825783
0.8	1.03242
1	1.20825
1.2	1.3563
1.4	1.48348
1.6	1.59311
1.8	1.68661
2	1.76559
2.2	1.82976
2.4	1.88148
2.6	1.91929
2.8	1.93998
3	1.93308
3.2	1.89905
3.4	1.8069
3.6	1.66004
3.8	1.48611
4	1.29897
4.2	1.14337
4.4	1.13448
4.6	1.27064
4.8	1.40816
5	1.51285
5.2	1.58342
5.4	1.64509
5.6	1.75549
5.8	1.84976
6	1.92653
6.2	1.98535
6.4	2.02395
6.6	2.04341
6.8	2.03754
7	1.95612
7.2	1.75498
7.4	1.52993
7.6	1.34495
7.8	1.21993
8	1.2262
8.2	1.3637
8.4	1.57061
8.6	1.74331
8.8	1.86788
